Date,Mode,Category,Subcategory,Note,Amount,Expense,Currency
2015-02-07 18:24:22,Saving Bank account 1,Other,Pocket money,splitwise settlement,312.0,Expense,INR
2015-02-10 08:48:24,Saving Bank account 1,Food,beverage,cold coffee,420.0,Expense,INR
2015-02-12 09:20:32,Cash,Shopping,Footwear,Kolhapuri chappal,325.0,Expense,INR
2015-02-13 09:08:59,Saving Bank account 1,Food,Milk,chana chat + tea,21.0,Expense,INR
2015-02-13 09:08:59,Cash,Food,Milk,milk half shakti,27.0,Expense,INR
2015-02-15 08:40:08,Cash,Food,Milk,bread,15.0,Expense,INR
2015-02-15 08:40:26,Cash,Food,Milk,tea,20.0,Expense,INR
2015-02-15 19:54:13,Cash,Transportation,auto,taxi - dadar to vadala road,34.0,Expense,INR
2015-02-15 19:54:41,Cash,Transportation,auto,local - vadala road to Place 0,15.0,Expense,INR
2015-02-15 19:55:31,Cash,Food,Milk,pani puri,20.0,Expense,INR
2015-02-15 19:57:00,Cash,Other,Pocket money,Internet renewal,500.0,Expense,INR
2015-02-15 21:37:45,Cash,Household,Kirana,mixer repair,250.0,Expense,INR
2015-02-16 10:18:40,Cash,Transportation,auto,local - Place 0 to Place 5 return,30.0,Expense,INR
2015-02-16 11:38:58,Saving Bank account 1,Food,Milk,kaju katli 250gm,249.0,Expense,INR
2015-02-17 08:20:06,Cash,Food,Milk,dinner,227.0,Expense,INR
2015-02-19 11:38:58,Cash,Food,Milk,milk 1lit ,60.0,Expense,INR
2015-02-19 20:51:37,Cash,Health,Medicine,koflet,34.0,Expense,INR
2015-02-19 20:52:01,Cash,Health,Health,face mask,45.0,Expense,INR
2015-02-23 09:19:54,Saving Bank account 1,Other,Pocket money,splitwise settlement,4118.0,Expense,INR
2015-02-23 15:43:13,Credit Card,Transportation,train,to and fro Mum to BRC,526.0,Expense,INR
2015-02-23 18:39:59,Cash,Shopping,Footwear,shoe polish,20.0,Expense,INR
2015-02-23 19:37:47,Cash,Transportation,Train,Place 0 to Bandra,20.0,Expense,INR
2015-02-23 21:15:40,Cash,Transportation,auto,Bandra to Bandra terminus,20.0,Expense,INR
2015-02-24 05:46:53,Cash,Food,Tea,No Notes,10.0,Expense,INR
2015-02-24 05:47:03,Cash,Transportation,auto,ola auto - BRC to b45,66.0,Expense,INR
2015-02-24 22:10:01,Cash,Food,Grocery,vegetable,160.0,Expense,INR
2015-02-26 20:05:31,Cash,Food,Milk,No Notes,26.0,Expense,INR
2015-02-26 20:05:39,Cash,Food,Grocery,eggs,30.0,Expense,INR
2015-02-26 20:06:17,Cash,Transportation,auto,office to vasna road,60.0,Expense,INR
2015-02-26 20:06:17,Cash,Food,Tea,No Notes,6.0,Expense,INR
2015-02-28 11:33:42,Cash,Food,Milk,No Notes,26.0,Expense,INR
2015-02-28 17:48:39,Cash,Food,Lunch,chicken thali,55.0,Expense,INR
2015-02-28 17:48:39,Cash,Food,Tea,No Notes,20.0,Expense,INR
2015-03-01 12:10:04,Cash,Food,Milk,water jar,350.0,Expense,INR
2015-03-01 13:28:33,Cash,Food,Milk,milk half gold + 2 packs bourbon biscuits,49.0,Expense,INR
2015-03-01 18:00:21,Saving Bank account 1,Other,Pocket money,cricket expenses,223.0,Expense,INR
2015-03-02 08:12:20,Cash,Food,Milk,grocery,107.0,Expense,INR
2015-03-02 08:20:37,Cash,Other,Pocket money,garbage collector,50.0,Expense,INR
2015-03-02 08:32:07,Cash,Food,Milk,12 eggs,70.0,Expense,INR
2015-03-02 12:09:58,Cash,Food,Milk,chana chat + kachori,27.0,Expense,INR
2015-03-02 12:29:51,Cash,Food,Milk,tea,10.0,Expense,INR
2015-03-02 18:36:34,Cash,Other,Pocket money,shoe repair,100.0,Expense,INR
2015-03-03 17:11:10,Cash,Health,Hospital,root canal advance,3000.0,Expense,INR
2015-03-03 17:12:04,Cash,Health,Medicine,painkillers,82.0,Expense,INR
2015-03-05 13:28:04,Saving Bank account 1,Food,Grocery,No Notes,1178.0,Expense,INR
2015-03-11 12:26:42,Cash,Transportation,auto,Permanent Residence to nearby  hospital,40.0,Expense,INR
2015-03-13 15:01:05,Cash,Transportation,auto,to office,10.0,Expense,INR
2015-03-14 09:11:06,Cash,Food,Milk,No Notes,26.0,Expense,INR
2015-03-14 19:21:18,Cash,Shopping,Laundry,ironing,40.0,Expense,INR
2015-03-15 18:38:29,Cash,Food,Milk,shakti + bread,36.0,Expense,INR
2015-03-15 18:38:44,Cash,Other,Pocket money,cycle air pumping,5.0,Expense,INR
2015-03-15 18:39:12,Cash,Shopping,Clothing,altering,30.0,Expense,INR
2015-03-16 16:38:08,Cash,Food,Tea,No Notes,20.0,Expense,INR
2015-03-16 21:30:08,Cash,Health,Hospital,dentist check-up,1000.0,Expense,INR
2015-03-17 16:21:18,Cash,Other,Pocket money,laptop repair,450.0,Expense,INR
2015-03-18 09:25:24,Cash,Food,Milk,No Notes,26.0,Expense,INR
2015-03-18 10:56:33,Cash,Food,breakfast,aloo paratha,20.0,Expense,INR
2015-03-18 13:22:02,Cash,Food,Lunch,dal fry and chapati,25.0,Expense,INR
2015-03-18 18:27:14,Cash,Food,snacks,samosa+tea+veg cheese grill sandwich,53.0,Expense,INR
2015-03-19 16:08:23,Cash,Household,Kitchen,cooker ring,50.0,Expense,INR
2015-03-20 19:08:18,Credit Card,Health,Hospital,dentist check-up,3700.0,Expense,INR
2015-03-20 21:36:58,Cash,Shopping,Laundry,dry cleaning,100.0,Expense,INR
2015-03-23 13:19:44,Credit Card,Food,Grocery,No Notes,433.8,Expense,INR
2015-03-24 08:52:41,Cash,Food,Milk,No Notes,26.0,Expense,INR
2015-03-29 20:06:39,Cash,Food,Grocery,No Notes,150.0,Expense,INR
2015-03-29 20:08:01,Cash,Health,Medicine,kala hit,269.0,Expense,INR
2015-04-01 08:09:24,Cash,Food,Milk,shev,35.0,Expense,INR
2015-04-01 09:20:45,Saving Bank account 1,Other,Pocket money,Public Provident Fund,10000.0,Expense,INR
2015-04-01 09:26:39,Cash,Food,Milk,tea,20.0,Expense,INR
2015-04-01 18:38:33,Cash,Food,Milk,rice,175.0,Expense,INR
2015-04-02 08:50:01,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-04-02 09:08:40,Cash,Food,Milk,tea,30.0,Expense,INR
2015-04-02 09:42:22,Credit Card,Food,Milk,grocery,1178.0,Expense,INR
2015-04-03 13:35:33,Cash,Food,beverage,mosambi juice,25.0,Expense,INR
2015-04-04 08:57:56,Cash,Food,Grocery,No Notes,287.0,Expense,INR
2015-04-04 18:45:32,Cash,Other,Pocket money,cleaning drainage,300.0,Expense,INR
2015-04-04 18:47:42,Credit Card,Food,Grocery,No Notes,889.0,Expense,INR
2015-04-13 12:24:47,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-04-14 12:24:47,Saving Bank account 1,Other,Pocket money,covid19 donation to PM fund,500.0,Expense,INR
2015-04-18 10:33:25,Saving Bank account 1,Food,Grocery,snacks,324.0,Expense,INR
2015-04-18 10:33:50,Saving Bank account 1,Other,Pocket money,hair oil,180.0,Expense,INR
2015-04-23 13:00:42,Cash,Food,Milk,milk half gold,56.0,Expense,INR
2015-04-24 09:25:33,Saving Bank account 1,Food,Grocery,snacks + veggie,420.0,Expense,INR
2015-04-26 09:06:04,Saving Bank account 1,Food,Dinner,srikhand,114.0,Expense,INR
2015-04-26 10:48:00,Saving Bank account 1,Food,Grocery,eggs + bread,110.0,Expense,INR
2015-04-26 10:48:25,Cash,Other,Pocket money,stationary (drawing book + black sketch pen),59.0,Expense,INR
2015-04-28 08:43:51,Cash,Food,Milk,milk half gold,28.0,Expense,INR
2015-05-01 08:05:05,Cash,Other,Pocket money,maid,333.0,Expense,INR
2015-05-01 08:48:28,Cash,Other,Pocket money,cook,2250.0,Expense,INR
2015-05-01 12:04:12,Saving Bank account 1,Food,Milk,dinner,135.0,Expense,INR
2015-05-01 12:21:40,Cash,Other,Pocket money,rent,2833.0,Expense,INR
2015-05-02 08:48:33,Cash,Food,Milk,snacks,21.0,Expense,INR
2015-05-02 09:42:31,Cash,Food,Milk,bhel,40.0,Expense,INR
2015-05-02 17:56:50,Cash,Food,Milk,water jar,375.0,Expense,INR
2015-05-03 12:55:44,Cash,Shopping,grooming,No Notes,40.0,Expense,INR
2015-05-03 18:12:44,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-05 12:07:31,Cash,Food,Grocery,methi + palak,100.0,Expense,INR
2015-05-05 12:40:08,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-05-05 13:35:32,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-06 13:02:12,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-08 09:45:20,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-09 17:38:29,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-10 08:01:32,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-11 12:52:53,Cash,Food,Dinner,12 eggs,84.0,Expense,INR
2015-05-11 17:25:12,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-12 09:30:23,Cash,Other,Pocket money,petrol,200.0,Expense,INR
2015-05-12 09:42:10,Cash,Food,snacks,Cadbury 2 + chips 2,90.0,Expense,INR
2015-05-12 17:31:31,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-05-13 08:31:49,Saving Bank account 1,Food,Milk,milk half shakti,26.0,Expense,INR
2015-05-13 08:32:03,Cash,Health,Health,N95 mask,250.0,Expense,INR
2015-05-14 10:38:24,Saving Bank account 1,Other,Pocket money,internet renewal (3 months pack),1450.0,Expense,INR
2015-05-15 07:33:09,Saving Bank account 1,Food,Milk,milk half shakti,26.0,Expense,INR
2015-05-16 11:24:15,Saving Bank account 1,Food,Milk,milk half shakti,26.0,Expense,INR
2015-05-16 11:24:35,Cash,Food,fruits,bananas 1 kg,20.0,Expense,INR
2015-05-16 14:52:42,Saving Bank account 1,Other,Pocket money,splitwise settlement,607.0,Expense,INR
2015-05-17 17:57:12,Saving Bank account 1,Transportation,Taxi,BR to mumbai,6000.0,Expense,INR
2015-05-31 21:44:54,Saving Bank account 1,Household,Appliances,electricity bill,2671.0,Expense,INR
2015-06-01 08:54:21,Cash,Food,Milk,sprout chat,15.0,Expense,INR
2015-06-01 13:15:33,Cash,Food,Milk,tea,15.0,Expense,INR
2015-06-03 09:08:23,Cash,Food,beverage,orange juice,25.0,Expense,INR
2015-06-03 09:31:04,Cash,Transportation,auto,to office,10.0,Expense,INR
2015-06-03 17:38:18,Cash,Transportation,auto,B45 to brc,10.0,Expense,INR
2015-06-04 09:42:10,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-06-05 18:57:30,Cash,Health,Medicine,Limcee+,70.0,Expense,INR
2015-06-07 17:56:00,Saving Bank account 1,Investment,Mutual fund,ICICI prudential,1000.0,Expense,INR
2015-06-23 09:53:35,Saving Bank account 1,Other,Pocket money,Amazon prime,999.0,Expense,INR
2015-06-29 09:53:35,Saving Bank account 1,Other,Pocket money,Amazon prime,199.0,Expense,INR
2015-07-01 17:32:29,Cash,Food,Milk,sprout chat+tea+guava drink,31.0,Expense,INR
2015-07-02 17:41:56,Cash,Food,Milk,tea,6.0,Expense,INR
2015-07-03 09:22:47,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-04 08:06:52,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-05 13:44:42,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-07 13:42:52,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-08 13:16:10,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-09 12:32:46,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-10 11:06:56,Saving Bank account 1,Shopping,Laundry,kindle + gift wrap,8029.0,Expense,INR
2015-07-10 18:33:32,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-11 08:09:32,Saving Bank account 1,Other,Pocket money,Mobile Service Provider recharge wfh,251.0,Expense,INR
2015-07-11 08:23:28,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-12 08:11:55,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-07-19 22:24:35,Saving Bank account 1,Other,Pocket money,Mobile Service Provider recharge 365 days,2599.0,Expense,INR
2015-07-29 14:36:01,Saving Bank account 1,Other,Pocket money,audible subscription,199.0,Expense,INR
2015-08-01 18:20:59,Cash,Food,Milk,tea+ bourbon,20.0,Expense,INR
2015-08-02 12:57:08,Saving Bank account 1,Other,Pocket money,deo and amul milk,371.0,Expense,INR
2015-08-02 13:35:29,Saving Bank account 1,Other,Pocket money,Internet renewal,3400.0,Expense,INR
2015-08-02 18:01:50,Cash,Food,Milk,tea + biscuits,30.0,Expense,INR
2015-08-02 18:46:38,Saving Bank account 1,Food,Milk,egg fried rice,86.0,Expense,INR
2015-08-04 13:28:45,Cash,Food,Grocery,No Notes,156.0,Expense,INR
2015-08-05 12:18:10,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-08-06 13:54:39,Saving Bank account 1,Investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR
2015-08-12 18:52:35,Cash,Other,Pocket money,flour mill,28.0,Expense,INR
2015-08-13 09:41:07,Saving Bank account 1,Other,Pocket money,internet renewal (3 months pack),1450.0,Expense,INR
2015-08-14 09:22:01,Saving Bank account 1,Household,Kitchen,mixer Philips 7756,3499.0,Expense,INR
2015-08-28 09:38:54,Saving Bank account 1,Other,Pocket money,audible subscription,199.0,Expense,INR
2015-08-30 13:18:42,Saving Bank account 1,Other,Pocket money,all out refill,72.0,Expense,INR
2015-08-31 07:47:33,Saving Bank account 1,Other,Pocket money,Screw driver kit,287.0,Expense,INR
2015-09-01 09:01:56,Cash,Other,Pocket money,participation fee - corporate cricket league,650.0,Expense,INR
2015-09-01 18:09:24,Cash,Food,Milk,sprout chat,20.0,Expense,INR
2015-09-02 08:39:00,Cash,Food,Milk,paneer,35.0,Expense,INR
2015-09-02 13:52:34,Cash,Food,Milk,farsan + khari sing,150.0,Expense,INR
2015-09-02 18:54:17,Saving Bank account 1,Transportation,auto,train - brc to mmct,176.0,Expense,INR
2015-09-03 08:58:20,Saving Bank account 1,Other,Pocket money,Amazon prime,129.0,Expense,INR
2015-09-03 13:18:56,Cash,Other,Pocket money,print out,6.0,Expense,INR
2015-09-05 13:02:22,Cash,Food,Milk,milk half shakti,52.0,Expense,INR
2015-09-05 13:54:44,Cash,Food,Grocery,gobi,20.0,Expense,INR
2015-09-05 17:33:38,Cash,Health,Health,hand sanitizer + surgical gloves,290.0,Expense,INR
2015-09-07 13:34:08,Saving Bank account 1,Other,Pocket money,earphones,459.0,Expense,INR
2015-09-21 08:10:16,Saving Bank account 1,Other,Pocket money,Mobile Service Provider fi router,2099.0,Expense,INR
2015-09-26 08:24:14,Cash,Other,Pocket money,shoe polish,30.0,Expense,INR
2015-09-27 10:54:06,Saving Bank account 1,Other,Pocket money,audible subscription,199.0,Expense,INR
2015-09-28 10:52:49,Cash,Health,Health,2 n95 masks,300.0,Expense,INR
2015-09-28 10:53:25,Cash,Health,Health,6 pairs of use and throw gloves,120.0,Expense,INR
2015-09-28 10:54:06,Cash,Other,Pocket money,Mobile Service Provider sim card,350.0,Expense,INR
2015-09-30 14:24:23,Cash,Other,Pocket money,phone cover,100.0,Expense,INR
2015-10-01 08:09:11,Cash,Other,Pocket money,garbage collector,50.0,Expense,INR
2015-10-01 08:32:13,Saving Bank account 1,Transportation,auto,travels - brc to pune,650.0,Expense,INR
2015-10-01 12:46:55,Cash,Food,Milk,tea,20.0,Expense,INR
2015-10-01 12:59:35,Cash,Transportation,auto,auto -hospital to bridge,50.0,Expense,INR
2015-10-02 08:27:52,Cash,Food,Milk,tea,6.0,Expense,INR
2015-10-02 09:28:32,Saving Bank account 1,Food,Milk,tea + kachuri,18.0,Expense,INR
2015-10-02 13:02:02,Cash,Food,Milk,grocery,60.0,Expense,INR
2015-10-03 08:43:26,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-10-03 09:01:02,Cash,Transportation,auto,Current Residence to Place 0,10.0,Expense,INR
2015-10-03 09:18:25,Saving Bank account 1,Transportation,train,train - ddr to brc cancellation charges,11.8,Expense,INR
2015-10-03 09:21:41,Cash,Transportation,auto,Bandra to Bandra terminus,20.0,Expense,INR
2015-10-03 13:45:22,Saving Bank account 1,Transportation,train,train - brc to ddr cancellation charges,11.8,Expense,INR
2015-10-03 18:18:00,Cash,Transportation,Train,Place 0 to Bandra,20.0,Expense,INR
2015-10-04 18:59:26,Cash,Food,Grocery,No Notes,699.0,Expense,INR
2015-10-05 13:21:16,Cash,Household,Toiletries,sensodyne rapid fire,160.0,Expense,INR
2015-10-06 12:02:56,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-10-06 12:42:45,Saving Bank account 1,Other,Pocket money,Tambola,50.0,Expense,INR
2015-10-07 08:49:23,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-10-08 09:16:50,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-10-09 09:06:28,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-10-10 09:59:24,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-10-11 13:46:02,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-10-12 08:57:10,Saving Bank account 1,Investment,Mutual fund,No Notes,1000.0,Expense,INR
2015-10-18 21:35:17,Saving Bank account 1,Transportation,Taxi,Ola - Place 1 to Place 5 to and fro,803.0,Expense,INR
2015-10-18 21:35:17,Saving Bank account 1,Shopping,Clothing,belt + socs,1479.0,Expense,INR
2015-10-21 18:16:08,Cash,Other,Pocket money,toll+petrol,500.0,Expense,INR
2015-10-22 13:10:06,Saving Bank account 1,Other,Pocket money,Mobile Service Provider recharge wfh,251.0,Expense,INR
2015-10-23 08:23:53,Cash,Other,Pocket money,hanger clips,40.0,Expense,INR
2015-10-23 14:30:42,Cash,Transportation,auto,mandir to hospital,20.0,Expense,INR
2015-10-24 18:57:36,Cash,Household,Appliances,plumber,100.0,Expense,INR
2015-10-25 17:55:32,Cash,Household,Kitchen,Sapat Parivar Tea half kg,240.0,Expense,INR
2015-10-27 07:48:06,Saving Bank account 1,Other,Pocket money,audible subscription,199.0,Expense,INR
2015-10-28 21:28:33,Cash,Transportation,Bus,Place 2 to brc travels,660.0,Expense,INR
2015-10-28 21:38:44,Saving Bank account 1,Shopping,Laundry,to Family,1000.0,Expense,INR
2015-10-29 10:17:09,Saving Bank account 1,Transportation,Bus,redbus - brc to Place 2,665.0,Expense,INR
2015-10-30 06:35:12,Cash,Transportation,auto,Permanent Residence to kacheri,30.0,Expense,INR
2015-10-30 14:13:06,Cash,Shopping,grooming,hair cut,50.0,Expense,INR
2015-10-31 09:26:37,Cash,Transportation,auto,golden circle to b45,180.0,Expense,INR
2015-10-31 09:27:05,Cash,Health,Health,face mask,150.0,Expense,INR
2015-10-31 12:08:54,Cash,Food,snacks,sweats,250.0,Expense,INR
2015-10-31 19:05:50,Cash,Food,Tea,No Notes,10.0,Expense,INR
2015-10-31 19:06:06,Cash,Transportation,auto,b45 to Pandya bridge,71.0,Expense,INR
2015-10-31 19:29:41,Cash,Food,snacks,water bottle + khari sing,70.0,Expense,INR
2015-11-01 08:15:01,Cash,Shopping,Laundry,shaving,50.0,Expense,INR
2015-11-01 09:46:37,Cash,Transportation,auto,ola auto - wakad to GG skies,170.0,Expense,INR
2015-11-02 08:59:15,Saving Bank account 1,Food,Milk,bread pakoda + tea,26.0,Expense,INR
2015-11-02 09:10:56,Cash,Food,Milk,paneer 150 gm,54.0,Expense,INR
2015-11-03 13:39:00,Cash,Food,Tea,No Notes,8.0,Expense,INR
2015-11-05 08:01:06,Saving Bank account 1,Investment,Mutual fund, mutual fund,1000.0,Expense,INR
2015-11-05 08:28:14,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-11-05 12:46:52,Cash,Food,Grocery,onions,20.0,Expense,INR
2015-11-09 08:05:08,Saving Bank account 1,Food,Lunch,chicken lollypop + biryani,379.0,Expense,INR
2015-11-12 18:12:37,Cash,Transportation,auto,station to Permanent Residence,100.0,Expense,INR
2015-11-14 21:38:16,Cash,Other,Pocket money,flowers (.5kg)+sweets (.25gm+10/-)+vegetables (1.5kg),310.0,Expense,INR
